time,angle1 data,angle2 data,angle1 solution,angle2 solution,angle1a data,angle2a data,angle1a solution,angle2a solution
4.05,-0.035,0.192,0.03,0.026,-0.043,0.074,0.03,-0.03
4.1,-0.035,0.192,0.022,0.018,-0.043,0.074,0.03,-0.04
4.15,-0.035,0.192,0.013,0.008,-0.043,0.074,0.04,-0.04
4.2,-0.017,0.175,0.003,-0.003,-0.025,0.057,0.04,-0.04
4.25,-0.017,0.157,-0.008,-0.014,-0.025,0.039,0.04,-0.04
4.3,0,0.14,-0.018,-0.023,-0.008,0.022,0.03,-0.04
4.35,0.017,0.105,-0.027,-0.031,0.009,-0.013,0.03,-0.03
4.4,0.017,0.087,-0.035,-0.037,0.009,-0.031,0.02,-0.02
4.45,0.035,0.07,-0.039,-0.04,0.027,-0.048,0.01,-0.01
4.5,0.052,0.052,-0.041,-0.04,0.044,-0.066,0,0
4.55,0.052,0.052,-0.039,-0.038,0.044,-0.066,-0.01,0.01
4.6,0.052,0.035,-0.035,-0.032,0.044,-0.083,-0.02,0.02
4.65,0.052,0.035,-0.028,-0.024,0.044,-0.083,-0.03,0.03
4.7,0.052,0.052,-0.019,-0.014,0.044,-0.066,-0.04,0.03
4.75,0.052,0.052,-0.009,-0.004,0.044,-0.066,-0.04,0.04
4.8,0.035,0.07,0.001,0.007,0.027,-0.048,-0.04,0.04
4.85,0.017,0.087,0.012,0.017,0.009,-0.031,-0.04,0.04
4.9,0.017,0.105,0.021,0.026,0.009,-0.013,-0.04,0.03
4.95,0,0.14,0.028,0.032,-0.008,0.022,-0.03,0.03
5,-0.017,0.157,0.034,0.036,-0.025,0.039,-0.02,0.02
5.05,-0.017,0.175,0.036,0.037,-0.025,0.057,-0.01,0.01
5.1,-0.035,0.192,0.035,0.035,-0.043,0.074,0,0
5.15,-0.035,0.192,0.031,0.03,-0.043,0.074,0.01,-0.01
5.2,-0.035,0.192,0.025,0.022,-0.043,0.074,0.02,-0.02
5.25,-0.035,0.192,0.017,0.013,-0.043,0.074,0.03,-0.03
5.3,-0.035,0.192,0.007,0.002,-0.043,0.074,0.03,-0.04
5.35,-0.017,0.175,-0.003,-0.009,-0.025,0.057,0.04,-0.04
5.4,-0.017,0.157,-0.014,-0.019,-0.025,0.039,0.04,-0.04
5.45,0,0.14,-0.023,-0.028,-0.008,0.022,0.04,-0.04
5.5,0.017,0.122,-0.031,-0.036,0.009,0.004,0.03,-0.04
5.55,0.017,0.087,-0.036,-0.04,0.009,-0.031,0.02,-0.03
5.6,0.035,0.07,-0.039,-0.042,0.027,-0.048,0.02,-0.02
5.65,0.052,0.07,-0.039,-0.04,0.044,-0.048,0.01,-0.01
5.7,0.052,0.052,-0.036,-0.036,0.044,-0.066,0,0
