time,angle1 data,angle2 data,angle1 solution,angle2 solution,angle1a data,angle2a data,angle1a solution,angle2a solution
3.75,-0.087,0.105,-0.088,0.091,-0.1647,0.1609,-0.09,0.09
3.8,-0.052,0.087,-0.06,0.066,-0.1297,0.1429,-0.06,0.07
3.85,-0.035,0.052,-0.028,0.037,-0.1127,0.1079,-0.03,0.04
3.9,0.017,0.017,0.005,0.005,-0.0607,0.0729,0,0.01
3.95,0.052,-0.017,0.038,-0.027,-0.0257,0.0389,0.04,-0.03
4,0.105,-0.07,0.068,-0.058,0.0273,-0.0141,0.07,-0.06
4.05,0.157,-0.105,0.093,-0.085,0.0793,-0.0491,0.09,-0.09
4.1,0.192,-0.14,0.112,-0.106,0.1143,-0.0841,0.11,-0.11
4.15,0.227,-0.175,0.123,-0.121,0.1493,-0.1191,0.12,-0.12
4.2,0.244,-0.192,0.125,-0.127,0.1663,-0.1361,0.12,-0.13
4.25,0.244,-0.209,0.118,-0.125,0.1663,-0.1531,0.12,-0.13
4.3,0.244,-0.209,0.104,-0.114,0.1663,-0.1531,0.1,-0.12
4.35,0.227,-0.209,0.082,-0.096,0.1493,-0.1531,0.08,-0.1
4.4,0.209,-0.175,0.055,-0.072,0.1313,-0.1191,0.05,-0.07
4.45,0.157,-0.157,0.023,-0.042,0.0793,-0.1011,0.02,-0.04
4.5,0.122,-0.122,-0.01,-0.01,0.0443,-0.0661,-0.01,-0.01
4.55,0.07,-0.07,-0.042,0.023,-0.0077,-0.0141,-0.04,0.02
4.6,0.035,-0.035,-0.072,0.054,-0.0427,0.0209,-0.07,0.06
4.65,-0.017,0.017,-0.096,0.082,-0.0947,0.0729,-0.09,0.08
4.7,-0.052,0.052,-0.115,0.104,-0.1297,0.1079,-0.11,0.11
4.75,-0.07,0.07,-0.125,0.118,-0.1477,0.1259,-0.12,0.12
4.8,-0.087,0.087,-0.127,0.125,-0.1647,0.1429,-0.12,0.13
4.85,-0.087,0.105,-0.121,0.122,-0.1647,0.1609,-0.12,0.12
4.9,-0.087,0.105,-0.107,0.112,-0.1647,0.1609,-0.11,0.11
