time,angle1 data,angle2 data,angle1 solution,angle2 solution,angle1a data,angle2a data,angle1a solution,angle2a solution
16.45,-0.087,0.087,0.037,-0.029,-0.1647,0.1429,0.03,-0.04
16.5,-0.07,0.07,0.002,0.002,-0.1477,0.1259,-0.01,-0.01
16.55,-0.052,0.052,-0.032,0.033,-0.1297,0.1079,-0.04,0.02
16.6,-0.017,0.035,-0.065,0.061,-0.0947,0.0909,-0.07,0.05
16.65,0.035,0,-0.093,0.085,-0.0427,0.0559,-0.1,0.08
16.7,0.07,-0.035,-0.115,0.103,-0.0077,0.0209,-0.12,0.1
16.75,0.122,-0.07,-0.129,0.114,0.0443,-0.0141,-0.13,0.11
16.8,0.157,-0.122,-0.135,0.117,0.0793,-0.0661,-0.13,0.12
16.85,0.192,-0.14,-0.132,0.112,0.1143,-0.0841,-0.13,0.12
16.9,0.227,-0.175,-0.119,0.099,0.1493,-0.1191,-0.11,0.11
16.95,0.244,-0.192,-0.099,0.08,0.1663,-0.1361,-0.09,0.09
17,0.244,-0.192,-0.072,0.055,0.1663,-0.1361,-0.06,0.07
17.05,0.227,-0.192,-0.04,0.026,0.1493,-0.1361,-0.03,0.04
17.1,0.209,-0.175,-0.005,-0.005,0.1313,-0.1191,0,0.01
17.15,0.192,-0.157,0.029,-0.035,0.1143,-0.1011,0.04,-0.03
17.2,0.14,-0.122,0.062,-0.064,0.0623,-0.0661,0.07,-0.06
17.25,0.105,-0.087,0.09,-0.088,0.0273,-0.0311,0.09,-0.08
17.3,0.052,-0.052,0.112,-0.106,-0.0257,0.0039,0.11,-0.11
17.35,0.017,-0.017,0.126,-0.117,-0.0607,0.0389,0.12,-0.12
17.4,-0.017,0.017,0.131,-0.121,-0.0947,0.0729,0.13,-0.13
17.45,-0.052,0.052,0.128,-0.116,-0.1297,0.1079,0.12,-0.12
17.5,-0.07,0.07,0.115,-0.104,-0.1477,0.1259,0.11,-0.11
17.55,-0.087,0.087,0.094,-0.085,-0.1647,0.1429,0.08,-0.1
17.6,-0.087,0.087,0.066,-0.06,-0.1647,0.1429,0.06,-0.07
17.65,-0.07,0.07,0.034,-0.031,-0.1477,0.1259,0.03,-0.04
17.7,-0.052,0.07,0,-0.001,-0.1297,0.1259,-0.01,-0.01
17.75,-0.017,0.035,-0.035,0.03,-0.0947,0.0909,-0.04,0.02
17.8,0.017,0,-0.068,0.058,-0.0607,0.0559,-0.07,0.05
17.85,0.07,-0.035,-0.096,0.082,-0.0077,0.0209,-0.1,0.08
17.9,0.122,-0.07,-0.117,0.101,0.0443,-0.0141,-0.11,0.1
17.95,0.157,-0.105,-0.131,0.112,0.0793,-0.0491,-0.13,0.12
18,0.192,-0.14,-0.136,0.116,0.1143,-0.0841,-0.13,0.12
18.05,0.227,-0.175,-0.132,0.112,0.1493,-0.1191,-0.12,0.12
18.1,0.244,-0.192,-0.118,0.1,0.1663,-0.1361,-0.11,0.11
18.15,0.244,-0.192,-0.097,0.081,0.1663,-0.1361,-0.09,0.09
18.2,0.244,-0.192,-0.069,0.057,0.1663,-0.1361,-0.06,0.07
18.25,0.227,-0.192,-0.037,0.029,0.1493,-0.1361,-0.03,0.04
18.3,0.192,-0.157,-0.002,-0.002,0.1143,-0.1011,0,0.01
18.35,0.157,-0.14,0.033,-0.032,0.0793,-0.0841,0.04,-0.03
18.4,0.105,-0.105,0.065,-0.061,0.0273,-0.0491,0.06,-0.06
18.45,0.07,-0.07,0.093,-0.085,-0.0077,-0.0141,0.09,-0.09
18.5,0.017,-0.017,0.114,-0.104,-0.0607,0.0389,0.11,-0.11
18.55,-0.017,0.017,0.127,-0.116,-0.0947,0.0729,0.12,-0.12
18.6,-0.052,0.035,0.132,-0.12,-0.1297,0.0909,0.12,-0.13
18.65,-0.07,0.07,0.127,-0.117,-0.1477,0.1259,0.12,-0.13
18.7,-0.087,0.087,0.113,-0.105,-0.1647,0.1429,0.1,-0.12
18.75,-0.087,0.087,0.092,-0.087,-0.1647,0.1429,0.08,-0.1
18.8,-0.07,0.087,0.064,-0.063,-0.1477,0.1429,0.05,-0.07
18.85,-0.052,0.07,0.031,-0.034,-0.1297,0.1259,0.02,-0.04
18.9,-0.017,0.035,-0.004,-0.004,-0.0947,0.0909,-0.01,-0.01
18.95,0.017,0,-0.038,0.027,-0.0607,0.0559,-0.04,0.02
19,0.07,-0.035,-0.07,0.055,-0.0077,0.0209,-0.07,0.05
19.05,0.105,-0.07,-0.098,0.08,0.0273,-0.0141,-0.09,0.08
19.1,0.157,-0.105,-0.119,0.099,0.0793,-0.0491,-0.11,0.11
19.15,0.192,-0.14,-0.132,0.112,0.1143,-0.0841,-0.12,0.12
19.2,0.209,-0.157,-0.136,0.116,0.1313,-0.1011,-0.12,0.13
19.25,0.227,-0.192,-0.13,0.113,0.1493,-0.1361,-0.12,0.12
19.3,0.244,-0.192,-0.116,0.102,0.1663,-0.1361,-0.11,0.11
19.35,0.244,-0.192,-0.095,0.084,0.1663,-0.1361,-0.09,0.09
19.4,0.227,-0.192,-0.066,0.06,0.1493,-0.1361,-0.06,0.07
19.45,0.192,-0.157,-0.034,0.032,0.1143,-0.1011,-0.03,0.04
19.5,0.157,-0.14,0.001,0.001,0.0793,-0.0841,0,0.01
19.55,0.122,-0.105,0.035,-0.029,0.0443,-0.0491,0.03,-0.03
19.6,0.07,-0.07,0.067,-0.058,-0.0077,-0.0141,0.06,-0.06
19.65,0.035,-0.035,0.094,-0.084,-0.0427,0.0209,0.09,-0.09
19.7,-0.017,0,0.115,-0.103,-0.0947,0.0559,0.1,-0.11
19.75,-0.052,0.035,0.127,-0.116,-0.1297,0.0909,0.12,-0.13
19.8,-0.07,0.07,0.131,-0.121,-0.1477,0.1259,0.12,-0.13
19.85,-0.087,0.07,0.125,-0.118,-0.1647,0.1259,0.11,-0.13
19.9,-0.087,0.087,0.111,-0.108,-0.1647,0.1429,0.1,-0.12
19.95,-0.07,0.087,0.089,-0.09,-0.1477,0.1429,0.08,-0.1
20,-0.052,0.07,0.061,-0.066,-0.1297,0.1259,0.06,-0.07
20.05,-0.017,0.035,0.028,-0.038,-0.0947,0.0909,0.03,-0.04
20.1,0.017,0.017,-0.006,-0.007,-0.0607,0.0729,-0.01,-0.01
20.15,0.052,-0.017,-0.041,0.024,-0.0257,0.0389,-0.04,0.03
20.2,0.105,-0.07,-0.072,0.053,0.0273,-0.0141,-0.06,0.06
20.25,0.14,-0.105,-0.099,0.079,0.0623,-0.0491,-0.09,0.09
20.3,0.175,-0.14,-0.119,0.099,0.0973,-0.0841,-0.11,0.11
20.35,0.209,-0.157,-0.131,0.113,0.1313,-0.1011,-0.12,0.12
20.4,0.227,-0.175,-0.134,0.118,0.1493,-0.1191,-0.12,0.13
20.45,0.244,-0.192,-0.128,0.116,0.1663,-0.1361,-0.12,0.13
20.5,0.244,-0.192,-0.114,0.105,0.1663,-0.1361,-0.11,0.11
20.55,0.227,-0.192,-0.091,0.087,0.1493,-0.1361,-0.09,0.09
20.6,0.192,-0.175,-0.063,0.063,0.1143,-0.1191,-0.06,0.07
20.65,0.157,-0.14,-0.031,0.035,0.0793,-0.0841,-0.03,0.04
20.7,0.122,-0.105,0.003,0.004,0.0443,-0.0491,0,0
20.75,0.087,-0.07,0.037,-0.027,0.0093,-0.0141,0.03,-0.03
20.8,0.035,-0.035,0.068,-0.057,-0.0427,0.0209,0.06,-0.07
20.85,0,0,0.095,-0.083,-0.0777,0.0559,0.08,-0.09
20.9,-0.035,0.035,0.114,-0.104,-0.1127,0.0909,0.1,-0.12
20.95,-0.07,0.052,0.126,-0.118,-0.1477,0.1079,0.11,-0.13
21,-0.087,0.07,0.129,-0.123,-0.1647,0.1259,0.12,-0.14
21.05,-0.087,0.087,0.122,-0.121,-0.1647,0.1429,0.11,-0.13
21.1,-0.07,0.087,0.108,-0.111,-0.1477,0.1429,0.1,-0.12
21.15,-0.052,0.07,0.086,-0.093,-0.1297,0.1259,0.08,-0.1
21.2,-0.035,0.052,0.058,-0.069,-0.1127,0.1079,0.06,-0.07
21.25,0,0.017,0.025,-0.04,-0.0777,0.0729,0.03,-0.04
21.3,0.052,-0.017,-0.008,-0.009,-0.0257,0.0389,0,-0.01
21.35,0.087,-0.052,-0.042,0.023,0.0093,0.0039,-0.03,0.03
21.4,0.14,-0.087,-0.073,0.053,0.0623,-0.0311,-0.06,0.06
21.45,0.175,-0.122,-0.098,0.079,0.0973,-0.0661,-0.09,0.09
21.5,0.209,-0.157,-0.118,0.1,0.1313,-0.1011,-0.1,0.11
21.55,0.227,-0.175,-0.129,0.115,0.1493,-0.1191,-0.12,0.13
21.6,0.244,-0.192,-0.131,0.121,0.1663,-0.1361,-0.12,0.13
21.65,0.244,-0.192,-0.125,0.119,0.1663,-0.1361,-0.12,0.13
21.7,0.227,-0.192,-0.11,0.108,0.1493,-0.1361,-0.11,0.11
21.75,0.209,-0.175,-0.088,0.09,0.1313,-0.1191,-0.09,0.09
21.8,0.175,-0.14,-0.06,0.066,0.0973,-0.0841,-0.06,0.07
21.85,0.122,-0.105,-0.029,0.037,0.0443,-0.0491,-0.04,0.03
21.9,0.087,-0.07,0.005,0.006,0.0093,-0.0141,-0.01,0
21.95,0.035,-0.035,0.038,-0.027,-0.0427,0.0209,0.03,-0.04
22,0,0,0.068,-0.057,-0.0777,0.0559,0.05,-0.07
22.05,-0.035,0.035,0.093,-0.084,-0.1127,0.0909,0.08,-0.1
22.1,-0.07,0.052,0.112,-0.106,-0.1477,0.1079,0.1,-0.12
22.15,-0.087,0.07,0.123,-0.12,-0.1647,0.1259,0.11,-0.13
22.2,-0.087,0.087,0.126,-0.126,-0.1647,0.1429,0.12,-0.14
22.25,-0.087,0.087,0.119,-0.124,-0.1647,0.1429,0.11,-0.13
22.3,-0.07,0.07,0.105,-0.114,-0.1477,0.1259,0.1,-0.12
22.35,-0.035,0.052,0.083,-0.096,-0.1127,0.1079,0.08,-0.1
22.4,0,0.017,0.055,-0.071,-0.0777,0.0729,0.06,-0.07
22.45,0.035,-0.017,0.024,-0.042,-0.0427,0.0389,0.03,-0.04
22.5,0.087,-0.052,-0.009,-0.01,0.0093,0.0039,0,0
22.55,0.122,-0.087,-0.042,0.023,0.0443,-0.0311,-0.03,0.03
22.6,0.175,-0.122,-0.072,0.054,0.0973,-0.0661,-0.06,0.06
22.65,0.209,-0.157,-0.097,0.081,0.1313,-0.1011,-0.08,0.09
22.7,0.227,-0.175,-0.115,0.103,0.1493,-0.1191,-0.1,0.11
22.75,0.244,-0.192,-0.126,0.117,0.1663,-0.1361,-0.12,0.13
22.8,0.244,-0.192,-0.128,0.124,0.1663,-0.1361,-0.12,0.13
22.85,0.227,-0.192,-0.122,0.122,0.1493,-0.1361,-0.12,0.12
22.9,0.209,-0.175,-0.107,0.111,0.1313,-0.1191,-0.11,0.11
22.95,0.175,-0.14,-0.086,0.093,0.0973,-0.0841,-0.09,0.09
23,0.14,-0.122,-0.059,0.068,0.0623,-0.0661,-0.07,0.06
23.05,0.087,-0.087,-0.027,0.038,0.0093,-0.0311,-0.04,0.03
23.1,0.052,-0.052,0.005,0.006,-0.0257,0.0039,-0.01,0
23.15,0,-0.017,0.037,-0.027,-0.0777,0.0389,0.02,-0.04
23.2,-0.035,0.017,0.067,-0.059,-0.1127,0.0729,0.05,-0.07
23.25,-0.052,0.052,0.091,-0.086,-0.1297,0.1079,0.08,-0.1
23.3,-0.07,0.07,0.11,-0.108,-0.1477,0.1259,0.1,-0.12
23.35,-0.087,0.07,0.12,-0.123,-0.1647,0.1259,0.11,-0.13
23.4,-0.087,0.07,0.122,-0.13,-0.1647,0.1259,0.12,-0.13
23.45,-0.07,0.07,0.116,-0.128,-0.1477,0.1259,0.12,-0.13
23.5,-0.035,0.052,0.102,-0.117,-0.1127,0.1079,0.11,-0.11
23.55,0,0.017,0.081,-0.098,-0.0777,0.0729,0.09,-0.09
23.6,0.035,-0.017,0.054,-0.073,-0.0427,0.0389,0.06,-0.07
23.65,0.087,-0.052,0.023,-0.043,0.0093,0.0039,0.04,-0.03
23.7,0.122,-0.087,-0.009,-0.01,0.0443,-0.0311,0.01,0
23.75,0.157,-0.122,-0.041,0.024,0.0793,-0.0661,-0.03,0.03
23.8,0.192,-0.14,-0.07,0.056,0.1143,-0.0841,-0.06,0.07
23.85,0.227,-0.175,-0.094,0.084,0.1493,-0.1191,-0.08,0.09
23.9,0.244,-0.192,-0.112,0.106,0.1663,-0.1361,-0.1,0.11
23.95,0.244,-0.192,-0.123,0.121,0.1663,-0.1361,-0.12,0.12
24,0.227,-0.192,-0.125,0.127,0.1493,-0.1361,-0.12,0.13
24.05,0.209,-0.175,-0.119,0.125,0.1313,-0.1191,-0.12,0.12
24.1,0.175,-0.157,-0.105,0.114,0.0973,-0.1011,-0.11,0.11
24.15,0.14,-0.122,-0.084,0.095,0.0623,-0.0661,-0.1,0.09
24.2,0.105,-0.087,-0.058,0.069,0.0273,-0.0311,-0.07,0.06
24.25,0.052,-0.052,-0.028,0.038,-0.0257,0.0039,-0.04,0.03
24.3,0.017,-0.017,0.004,0.005,-0.0607,0.0389,-0.01,-0.01
24.35,-0.017,0.017,0.036,-0.029,-0.0947,0.0729,0.02,-0.04
24.4,-0.052,0.052,0.064,-0.061,-0.1297,0.1079,0.05,-0.07
24.45,-0.07,0.07,0.088,-0.089,-0.1477,0.1259,0.08,-0.1
24.5,-0.087,0.07,0.106,-0.112,-0.1647,0.1259,0.1,-0.12
24.55,-0.087,0.07,0.117,-0.126,-0.1647,0.1259,0.11,-0.13
24.6,-0.07,0.07,0.119,-0.133,-0.1477,0.1259,0.12,-0.13
24.65,-0.035,0.052,0.114,-0.13,-0.1127,0.1079,0.12,-0.12
24.7,-0.017,0.017,0.1,-0.119,-0.0947,0.0729,0.11,-0.11
24.75,0.035,0,0.08,-0.099,-0.0427,0.0559,0.09,-0.09
24.8,0.07,-0.035,0.054,-0.073,-0.0077,0.0209,0.07,-0.06
24.85,0.122,-0.07,0.024,-0.042,0.0443,-0.0141,0.04,-0.03
24.9,0.157,-0.105,-0.008,-0.008,0.0793,-0.0491,0.01,0
24.95,0.192,-0.14,-0.039,0.026,0.1143,-0.0841,-0.03,0.04
25,0.227,-0.175,-0.067,0.058,0.1493,-0.1191,-0.06,0.07
25.05,0.227,-0.175,-0.091,0.087,0.1493,-0.1191,-0.08,0.09
25.1,0.244,-0.192,-0.109,0.109,0.1663,-0.1361,-0.11,0.11
25.15,0.227,-0.192,-0.12,0.124,0.1493,-0.1361,-0.12,0.12
25.2,0.209,-0.175,-0.122,0.13,0.1313,-0.1191,-0.13,0.12
25.25,0.192,-0.157,-0.117,0.127,0.1143,-0.1011,-0.13,0.12
25.3,0.157,-0.122,-0.104,0.115,0.0793,-0.0661,-0.12,0.1
25.35,0.105,-0.087,-0.084,0.095,0.0273,-0.0311,-0.1,0.08
25.4,0.07,-0.052,-0.058,0.068,-0.0077,0.0039,-0.07,0.06
25.45,0.017,-0.017,-0.029,0.037,-0.0607,0.0389,-0.04,0.03
25.5,-0.017,0.017,0.002,0.003,-0.0947,0.0729,-0.01,-0.01
25.55,-0.052,0.035,0.033,-0.032,-0.1297,0.0909,0.02,-0.04
25.6,-0.07,0.07,0.061,-0.064,-0.1477,0.1259,0.05,-0.07
25.65,-0.087,0.07,0.085,-0.093,-0.1647,0.1259,0.08,-0.09
25.7,-0.087,0.07,0.103,-0.115,-0.1647,0.1259,0.1,-0.11
25.75,-0.07,0.07,0.114,-0.129,-0.1477,0.1259,0.12,-0.12
25.8,-0.052,0.052,0.117,-0.135,-0.1297,0.1079,0.13,-0.13
25.85,-0.017,0.035,0.112,-0.132,-0.0947,0.0909,0.12,-0.12
25.9,0.017,0,0.099,-0.119,-0.0607,0.0559,0.11,-0.11
25.95,0.07,-0.035,0.08,-0.099,-0.0077,0.0209,0.09,-0.09
26,0.105,-0.07,0.055,-0.072,0.0273,-0.0141,0.07,-0.06
26.05,0.157,-0.105,0.026,-0.04,0.0793,-0.0491,0.04,-0.03
26.1,0.192,-0.14,-0.005,-0.006,0.1143,-0.0841,0.01,0
26.15,0.209,-0.157,-0.036,0.029,0.1313,-0.1011,-0.03,0.03
26.2,0.227,-0.175,-0.064,0.062,0.1493,-0.1191,-0.06,0.06
26.25,0.244,-0.192,-0.088,0.09,0.1663,-0.1361,-0.09,0.09
26.3,0.227,-0.192,-0.106,0.112,0.1493,-0.1361,-0.11,0.11
26.35,0.209,-0.175,-0.117,0.126,0.1313,-0.1191,-0.13,0.12
26.4,0.192,-0.157,-0.121,0.131,0.1143,-0.1011,-0.13,0.12
26.45,0.157,-0.122,-0.116,0.128,0.0793,-0.0661,-0.13,0.11
26.5,0.105,-0.087,-0.104,0.115,0.0273,-0.0311,-0.12,0.1
26.55,0.07,-0.052,-0.085,0.094,-0.0077,0.0039,-0.1,0.08
26.6,0.035,-0.017,-0.06,0.067,-0.0427,0.0389,-0.07,0.06
26.65,-0.017,0.017,-0.031,0.035,-0.0947,0.0729,-0.04,0.03
26.7,-0.052,0.035,-0.001,0,-0.1297,0.0909,-0.01,-0.01
26.75,-0.07,0.052,0.03,-0.035,-0.1477,0.1079,0.02,-0.04
26.8,-0.087,0.07,0.058,-0.067,-0.1647,0.1259,0.06,-0.07
26.85,-0.087,0.07,0.082,-0.095,-0.1647,0.1259,0.08,-0.09
26.9,-0.07,0.07,0.101,-0.117,-0.1477,0.1259,0.11,-0.11
26.95,-0.052,0.052,0.112,-0.131,-0.1297,0.1079,0.12,-0.12
27,-0.017,0.035,0.116,-0.136,-0.0947,0.0909,0.13,-0.12
27.05,0.017,0,0.112,-0.132,-0.0607,0.0559,0.13,-0.12
27.1,0.052,-0.035,0.1,-0.119,-0.0257,0.0209,0.11,-0.11
27.15,0.105,-0.07,0.081,-0.097,0.0273,-0.0141,0.1,-0.09
27.2,0.14,-0.105,0.057,-0.07,0.0623,-0.0491,0.07,-0.06
27.25,0.175,-0.14,0.029,-0.037,0.0973,-0.0841,0.04,-0.03
27.3,0.209,-0.157,-0.002,-0.003,0.1313,-0.1011,0,0
27.35,0.227,-0.175,-0.032,0.032,0.1493,-0.1191,-0.03,0.03
27.4,0.244,-0.192,-0.061,0.065,0.1663,-0.1361,-0.06,0.06
27.45,0.227,-0.192,-0.085,0.092,0.1493,-0.1361,-0.09,0.08
27.5,0.227,-0.175,-0.104,0.114,0.1493,-0.1191,-0.11,0.1
27.55,0.192,-0.157,-0.116,0.127,0.1143,-0.1011,-0.13,0.11
27.6,0.157,-0.14,-0.12,0.132,0.0793,-0.0841,-0.13,0.12
27.65,0.122,-0.105,-0.116,0.127,0.0443,-0.0491,-0.13,0.11
27.7,0.07,-0.07,-0.105,0.114,-0.0077,-0.0141,-0.12,0.1
27.75,0.035,-0.035,-0.087,0.092,-0.0427,0.0209,-0.1,0.08
27.8,0,0,-0.063,0.064,-0.0777,0.0559,-0.07,0.06
27.85,-0.035,0.035,-0.034,0.032,-0.1127,0.0909,-0.04,0.03
27.9,-0.07,0.052,-0.004,-0.003,-0.1477,0.1079,-0.01,0
27.95,-0.07,0.07,0.027,-0.038,-0.1477,0.1259,0.03,-0.03
28,-0.087,0.07,0.055,-0.07,-0.1647,0.1259,0.06,-0.06
28.05,-0.07,0.07,0.08,-0.098,-0.1477,0.1259,0.09,-0.09
28.1,-0.052,0.052,0.099,-0.119,-0.1297,0.1079,0.11,-0.11
28.15,-0.017,0.035,0.112,-0.132,-0.0947,0.0909,0.12,-0.12
28.2,0.017,0,0.116,-0.136,-0.0607,0.0559,0.13,-0.12
28.25,0.052,-0.035,0.113,-0.131,-0.0257,0.0209,0.13,-0.12
28.3,0.105,-0.07,0.102,-0.117,0.0273,-0.0141,0.11,-0.11
28.35,0.14,-0.105,0.084,-0.095,0.0623,-0.0491,0.09,-0.09
28.4,0.175,-0.122,0.06,-0.067,0.0973,-0.0661,0.07,-0.06
28.45,0.209,-0.157,0.032,-0.034,0.1313,-0.1011,0.04,-0.03
28.5,0.227,-0.175,0.001,0,0.1493,-0.1191,0,0
28.55,0.244,-0.192,-0.03,0.035,0.1663,-0.1361,-0.03,0.03
28.6,0.227,-0.192,-0.058,0.067,0.1493,-0.1361,-0.07,0.06
28.65,0.227,-0.175,-0.084,0.094,0.1493,-0.1191,-0.09,0.08
28.7,0.192,-0.157,-0.103,0.115,0.1143,-0.1011,-0.12,0.1
28.75,0.157,-0.14,-0.116,0.127,0.0793,-0.0841,-0.13,0.11
28.8,0.122,-0.105,-0.121,0.131,0.0443,-0.0491,-0.14,0.12
28.85,0.087,-0.07,-0.118,0.125,0.0093,-0.0141,-0.13,0.11
28.9,0.035,-0.035,-0.107,0.111,-0.0427,0.0209,-0.12,0.1
28.95,0,0,-0.09,0.089,-0.0777,0.0559,-0.1,0.08
29,-0.035,0.035,-0.066,0.061,-0.1127,0.0909,-0.07,0.06
29.05,-0.052,0.052,-0.037,0.029,-0.1297,0.1079,-0.04,0.03
29.1,-0.07,0.07,-0.007,-0.006,-0.1477,0.1259,0,0
29.15,-0.087,0.07,0.024,-0.04,-0.1647,0.1259,0.03,-0.03
29.2,-0.07,0.07,0.053,-0.072,-0.1477,0.1259,0.06,-0.06
29.25,-0.052,0.052,0.079,-0.099,-0.1297,0.1079,0.09,-0.08
29.3,-0.035,0.035,0.099,-0.119,-0.1127,0.0909,0.11,-0.1
29.35,0,0.017,0.112,-0.131,-0.0777,0.0729,0.13,-0.12
29.4,0.052,-0.017,0.118,-0.134,-0.0257,0.0389,0.13,-0.12
29.45,0.087,-0.052,0.115,-0.128,0.0093,0.0039,0.13,-0.12
29.5,0.14,-0.087,0.105,-0.114,0.0623,-0.0311,0.11,-0.11
29.55,0.175,-0.122,0.087,-0.092,0.0973,-0.0661,0.09,-0.09
29.6,0.209,-0.157,0.063,-0.064,0.1313,-0.1011,0.06,-0.07
29.65,0.227,-0.175,0.035,-0.031,0.1493,-0.1191,0.03,-0.04
29.7,0.227,-0.192,0.004,0.003,0.1493,-0.1361,0,-0.01
29.75,0.227,-0.192,-0.028,0.037,0.1493,-0.1361,-0.04,0.02
29.8,0.227,-0.175,-0.057,0.068,0.1493,-0.1191,-0.07,0.05
29.85,0.209,-0.157,-0.083,0.094,0.1313,-0.1011,-0.1,0.08
29.9,0.175,-0.14,-0.104,0.114,0.0973,-0.0841,-0.12,0.1
29.95,0.14,-0.105,-0.117,0.126,0.0623,-0.0491,-0.13,0.11
30,0.087,-0.07,-0.123,0.129,0.0093,-0.0141,-0.14,0.12
30.05,0.052,-0.035,-0.121,0.123,-0.0257,0.0209,-0.13,0.11
30.1,0,0,-0.111,0.108,-0.0777,0.0559,-0.12,0.1
30.15,-0.035,0.017,-0.093,0.086,-0.1127,0.0729,-0.1,0.09
30.2,-0.052,0.052,-0.069,0.058,-0.1297,0.1079,-0.07,0.06
30.25,-0.07,0.07,-0.04,0.026,-0.1477,0.1259,-0.04,0.04
30.3,-0.087,0.07,-0.009,-0.008,-0.1647,0.1259,0,0
30.35,-0.07,0.07,0.023,-0.042,-0.1477,0.1259,0.03,-0.03
30.4,-0.052,0.052,0.053,-0.072,-0.1297,0.1079,0.06,-0.06
30.45,-0.035,0.035,0.079,-0.098,-0.1127,0.0909,0.09,-0.08
30.5,0,0.017,0.1,-0.118,-0.0777,0.0729,0.11,-0.1
30.55,0.035,-0.017,0.114,-0.129,-0.0427,0.0389,0.13,-0.12
30.6,0.087,-0.052,0.12,-0.132,0.0093,0.0039,0.13,-0.12
30.65,0.122,-0.087,0.118,-0.125,0.0443,-0.0311,0.12,-0.12
30.7,0.157,-0.122,0.108,-0.111,0.0793,-0.0661,0.11,-0.11
30.75,0.192,-0.157,0.09,-0.089,0.1143,-0.1011,0.09,-0.09
30.8,0.227,-0.175,0.066,-0.061,0.1493,-0.1191,0.06,-0.07
30.85,0.227,-0.175,0.037,-0.029,0.1493,-0.1191,0.03,-0.04
30.9,0.227,-0.192,0.006,0.005,0.1493,-0.1361,-0.01,-0.01
30.95,0.227,-0.175,-0.027,0.038,0.1493,-0.1191,-0.04,0.02
31,0.209,-0.157,-0.057,0.068,0.1313,-0.1011,-0.07,0.05
31.05,0.175,-0.14,-0.084,0.094,0.0973,-0.0841,-0.1,0.08
31.1,0.14,-0.105,-0.105,0.112,0.0623,-0.0491,-0.12,0.1
31.15,0.105,-0.07,-0.12,0.123,0.0273,-0.0141,-0.13,0.11
31.2,0.052,-0.035,-0.126,0.126,-0.0257,0.0209,-0.13,0.12
31.25,0.017,-0.017,-0.124,0.12,-0.0607,0.0389,-0.13,0.12
31.3,-0.017,0.017,-0.114,0.105,-0.0947,0.0729,-0.11,0.11
31.35,-0.052,0.052,-0.096,0.083,-0.1297,0.1079,-0.09,0.09
31.4,-0.07,0.07,-0.071,0.055,-0.1477,0.1259,-0.06,0.07
31.45,-0.087,0.07,-0.042,0.024,-0.1647,0.1259,-0.03,0.04
31.5,-0.07,0.07,-0.01,-0.009,-0.1477,0.1259,0,0.01
31.55,-0.07,0.052,0.022,-0.042,-0.1477,0.1079,0.03,-0.03
31.6,-0.035,0.035,0.053,-0.072,-0.1127,0.0909,0.07,-0.06
31.65,0,0.017,0.081,-0.097,-0.0777,0.0729,0.09,-0.08
31.7,0.035,-0.017,0.102,-0.115,-0.0427,0.0389,0.11,-0.1
31.75,0.07,-0.052,0.117,-0.126,-0.0077,0.0039,0.12,-0.12
31.8,0.122,-0.087,0.124,-0.128,0.0443,-0.0311,0.13,-0.13
31.85,0.157,-0.122,0.121,-0.122,0.0793,-0.0661,0.12,-0.12
31.9,0.192,-0.14,0.111,-0.108,0.1143,-0.0841,0.11,-0.11
31.95,0.209,-0.175,0.093,-0.086,0.1313,-0.1191,0.08,-0.1
32,0.227,-0.175,0.068,-0.059,0.1493,-0.1191,0.06,-0.07
32.05,0.227,-0.192,0.038,-0.028,0.1493,-0.1361,0.03,-0.04
32.1,0.227,-0.175,0.006,0.005,0.1493,-0.1191,-0.01,-0.01
32.15,0.209,-0.157,-0.027,0.037,0.1313,-0.1011,-0.04,0.02
32.2,0.175,-0.14,-0.058,0.067,0.0973,-0.0841,-0.07,0.05
32.25,0.14,-0.122,-0.086,0.092,0.0623,-0.0661,-0.1,0.08
32.3,0.105,-0.087,-0.108,0.11,0.0273,-0.0311,-0.11,0.1
32.35,0.052,-0.052,-0.123,0.12,-0.0257,0.0039,-0.13,0.12
32.4,0.017,-0.017,-0.129,0.123,-0.0607,0.0389,-0.13,0.12
32.45,-0.017,0.017,-0.127,0.116,-0.0947,0.0729,-0.12,0.12
32.5,-0.052,0.035,-0.117,0.102,-0.1297,0.0909,-0.11,0.11
32.55,-0.07,0.052,-0.098,0.081,-0.1477,0.1079,-0.09,0.09
32.6,-0.07,0.07,-0.073,0.054,-0.1477,0.1259,-0.06,0.07
32.65,-0.07,0.07,-0.043,0.023,-0.1477,0.1259,-0.03,0.04
32.7,-0.07,0.07,-0.01,-0.009,-0.1477,0.1259,0,0.01
32.75,-0.035,0.052,0.024,-0.041,-0.1127,0.1079,0.03,-0.03
32.8,-0.017,0.017,0.055,-0.07,-0.0947,0.0729,0.06,-0.06
32.85,0.035,-0.017,0.083,-0.094,-0.0427,0.0389,0.09,-0.09
32.9,0.07,-0.052,0.105,-0.112,-0.0077,0.0039,0.11,-0.11
32.95,0.105,-0.087,0.12,-0.123,0.0273,-0.0311,0.12,-0.12
33,0.157,-0.105,0.127,-0.125,0.0793,-0.0491,0.12,-0.13
33.05,0.192,-0.14,0.124,-0.119,0.1143,-0.0841,0.12,-0.13
33.1,0.209,-0.157,0.113,-0.105,0.1313,-0.1011,0.1,-0.12
33.15,0.227,-0.175,0.095,-0.084,0.1493,-0.1191,0.08,-0.1
