time,angle1,angle2
12.5,0.192,-0.175
12.55,0.157,-0.14
12.6,0.122,-0.105
12.65,0.07,-0.07
12.7,0.035,-0.035
12.75,0,0
12.8,-0.052,0.035
12.85,-0.07,0.07
12.9,-0.087,0.087
12.95,-0.087,0.087
13,-0.087,0.087
13.05,-0.052,0.07
13.1,-0.035,0.052
13.15,0,0.017
13.2,0.052,-0.017
13.25,0.105,-0.052
13.3,0.14,-0.087
13.35,0.175,-0.14
13.4,0.209,-0.157
13.45,0.227,-0.192
13.5,0.244,-0.192
13.55,0.244,-0.209
13.6,0.227,-0.192
13.65,0.209,-0.175
13.7,0.175,-0.157
13.75,0.122,-0.122
13.8,0.087,-0.087
13.85,0.035,-0.035
13.9,0,0
13.95,-0.035,0.035
14,-0.07,0.052
14.05,-0.087,0.087
14.1,-0.087,0.087
14.15,-0.087,0.087
14.2,-0.07,0.07
14.25,-0.035,0.052
14.3,0,0.017
14.35,0.052,-0.017
14.4,0.087,-0.052
14.45,0.14,-0.087
14.5,0.175,-0.122
14.55,0.209,-0.157
14.6,0.227,-0.175
14.65,0.244,-0.192
14.7,0.244,-0.209
14.75,0.227,-0.192
14.8,0.209,-0.175
14.85,0.175,-0.157
14.9,0.14,-0.122
14.95,0.087,-0.087
15,0.052,-0.052
15.05,0,0
15.1,-0.035,0.035
15.15,-0.07,0.052
15.2,-0.087,0.07
15.25,-0.087,0.087
15.3,-0.087,0.087
15.35,-0.07,0.07
15.4,-0.035,0.052
15.45,0,0.035
15.5,0.035,0
15.55,0.087,-0.052
15.6,0.122,-0.087
15.65,0.175,-0.122
15.7,0.209,-0.157
15.75,0.227,-0.175
15.8,0.244,-0.192
15.85,0.244,-0.192
15.9,0.227,-0.192
15.95,0.209,-0.175
16,0.175,-0.157
16.05,0.14,-0.122
16.1,0.105,-0.087
16.15,0.052,-0.052
16.2,0.017,-0.017
16.25,-0.035,0.017
16.3,-0.052,0.052
16.35,-0.087,0.07
16.4,-0.087,0.087
16.45,-0.087,0.087
16.5,-0.07,0.07
16.55,-0.052,0.052
16.6,-0.017,0.035
16.65,0.035,0
16.7,0.07,-0.035
16.75,0.122,-0.07
16.8,0.157,-0.122
16.85,0.192,-0.14
16.9,0.227,-0.175
16.95,0.244,-0.192
17,0.244,-0.192
17.05,0.227,-0.192
17.1,0.209,-0.175
17.15,0.192,-0.157
17.2,0.14,-0.122
17.25,0.105,-0.087
17.3,0.052,-0.052
17.35,0.017,-0.017
17.4,-0.017,0.017
17.45,-0.052,0.052
17.5,-0.07,0.07
17.55,-0.087,0.087
17.6,-0.087,0.087
17.65,-0.07,0.07
17.7,-0.052,0.07
17.75,-0.017,0.035
17.8,0.017,0
17.85,0.07,-0.035
17.9,0.122,-0.07
17.95,0.157,-0.105
18,0.192,-0.14
18.05,0.227,-0.175
18.1,0.244,-0.192
18.15,0.244,-0.192
18.2,0.244,-0.192
18.25,0.227,-0.192
18.3,0.192,-0.157
18.35,0.157,-0.14
18.4,0.105,-0.105
18.45,0.07,-0.07
18.5,0.017,-0.017
18.55,-0.017,0.017
18.6,-0.052,0.035
18.65,-0.07,0.07
18.7,-0.087,0.087
18.75,-0.087,0.087
18.8,-0.07,0.087
18.85,-0.052,0.07
18.9,-0.017,0.035
18.95,0.017,0
19,0.07,-0.035
19.05,0.105,-0.07
19.1,0.157,-0.105
19.15,0.192,-0.14
19.2,0.209,-0.157
19.25,0.227,-0.192
19.3,0.244,-0.192
19.35,0.244,-0.192
19.4,0.227,-0.192
19.45,0.192,-0.157
19.5,0.157,-0.14
19.55,0.122,-0.105
19.6,0.07,-0.07
19.65,0.035,-0.035
19.7,-0.017,0
19.75,-0.052,0.035
19.8,-0.07,0.07
19.85,-0.087,0.07
19.9,-0.087,0.087
19.95,-0.07,0.087
20,-0.052,0.07
20.05,-0.017,0.035
20.1,0.017,0.017
20.15,0.052,-0.017
20.2,0.105,-0.07
20.25,0.14,-0.105
20.3,0.175,-0.14
20.35,0.209,-0.157
20.4,0.227,-0.175
20.45,0.244,-0.192
20.5,0.244,-0.192
20.55,0.227,-0.192
20.6,0.192,-0.175
20.65,0.157,-0.14
20.7,0.122,-0.105
20.75,0.087,-0.07
20.8,0.035,-0.035
20.85,0,0
20.9,-0.035,0.035
20.95,-0.07,0.052
21,-0.087,0.07
21.05,-0.087,0.087
21.1,-0.07,0.087
21.15,-0.052,0.07
21.2,-0.035,0.052
21.25,0,0.017
21.3,0.052,-0.017
21.35,0.087,-0.052
21.4,0.14,-0.087
21.45,0.175,-0.122
21.5,0.209,-0.157
21.55,0.227,-0.175
21.6,0.244,-0.192
21.65,0.244,-0.192
21.7,0.227,-0.192
21.75,0.209,-0.175
21.8,0.175,-0.14
21.85,0.122,-0.105
21.9,0.087,-0.07
21.95,0.035,-0.035
22,0,0
22.05,-0.035,0.035
22.1,-0.07,0.052
22.15,-0.087,0.07
22.2,-0.087,0.087
22.25,-0.087,0.087
22.3,-0.07,0.07
22.35,-0.035,0.052
22.4,0,0.017
22.45,0.035,-0.017
22.5,0.087,-0.052
22.55,0.122,-0.087
22.6,0.175,-0.122
22.65,0.209,-0.157
22.7,0.227,-0.175
22.75,0.244,-0.192
22.8,0.244,-0.192
22.85,0.227,-0.192
22.9,0.209,-0.175
22.95,0.175,-0.14
23,0.14,-0.122
23.05,0.087,-0.087
23.1,0.052,-0.052
23.15,0,-0.017
23.2,-0.035,0.017
23.25,-0.052,0.052
23.3,-0.07,0.07
23.35,-0.087,0.07
23.4,-0.087,0.07
23.45,-0.07,0.07
23.5,-0.035,0.052
23.55,0,0.017
23.6,0.035,-0.017
23.65,0.087,-0.052
23.7,0.122,-0.087
23.75,0.157,-0.122
23.8,0.192,-0.14
23.85,0.227,-0.175
23.9,0.244,-0.192
23.95,0.244,-0.192
24,0.227,-0.192
24.05,0.209,-0.175
24.1,0.175,-0.157
24.15,0.14,-0.122
24.2,0.105,-0.087
24.25,0.052,-0.052
24.3,0.017,-0.017
24.35,-0.017,0.017
24.4,-0.052,0.052
24.45,-0.07,0.07
24.5,-0.087,0.07
24.55,-0.087,0.07
24.6,-0.07,0.07
24.65,-0.035,0.052
24.7,-0.017,0.017
24.75,0.035,0
24.8,0.07,-0.035
24.85,0.122,-0.07
24.9,0.157,-0.105
24.95,0.192,-0.14
25,0.227,-0.175
25.05,0.227,-0.175
25.1,0.244,-0.192
25.15,0.227,-0.192
25.2,0.209,-0.175
25.25,0.192,-0.157
25.3,0.157,-0.122
25.35,0.105,-0.087
25.4,0.07,-0.052
25.45,0.017,-0.017
25.5,-0.017,0.017
25.55,-0.052,0.035
25.6,-0.07,0.07
25.65,-0.087,0.07
25.7,-0.087,0.07
25.75,-0.07,0.07
25.8,-0.052,0.052
25.85,-0.017,0.035
25.9,0.017,0
25.95,0.07,-0.035
26,0.105,-0.07
26.05,0.157,-0.105
26.1,0.192,-0.14
26.15,0.209,-0.157
26.2,0.227,-0.175
26.25,0.244,-0.192
26.3,0.227,-0.192
26.35,0.209,-0.175
26.4,0.192,-0.157
26.45,0.157,-0.122
26.5,0.105,-0.087
26.55,0.07,-0.052
26.6,0.035,-0.017
26.65,-0.017,0.017
26.7,-0.052,0.035
26.75,-0.07,0.052
26.8,-0.087,0.07
26.85,-0.087,0.07
26.9,-0.07,0.07
26.95,-0.052,0.052
27,-0.017,0.035
27.05,0.017,0
27.1,0.052,-0.035
27.15,0.105,-0.07
27.2,0.14,-0.105
27.25,0.175,-0.14
27.3,0.209,-0.157
27.35,0.227,-0.175
27.4,0.244,-0.192
27.45,0.227,-0.192
27.5,0.227,-0.175
27.55,0.192,-0.157
27.6,0.157,-0.14
27.65,0.122,-0.105
27.7,0.07,-0.07
27.75,0.035,-0.035
27.8,0,0
27.85,-0.035,0.035
27.9,-0.07,0.052
27.95,-0.07,0.07
28,-0.087,0.07
28.05,-0.07,0.07
28.1,-0.052,0.052
28.15,-0.017,0.035
28.2,0.017,0
28.25,0.052,-0.035
28.3,0.105,-0.07
28.35,0.14,-0.105
28.4,0.175,-0.122
28.45,0.209,-0.157
28.5,0.227,-0.175
28.55,0.244,-0.192
28.6,0.227,-0.192
28.65,0.227,-0.175
28.7,0.192,-0.157
28.75,0.157,-0.14
28.8,0.122,-0.105
28.85,0.087,-0.07
28.9,0.035,-0.035
28.95,0,0
29,-0.035,0.035
29.05,-0.052,0.052
29.1,-0.07,0.07
29.15,-0.087,0.07
29.2,-0.07,0.07
29.25,-0.052,0.052
29.3,-0.035,0.035
29.35,0,0.017
29.4,0.052,-0.017
29.45,0.087,-0.052
29.5,0.14,-0.087
29.55,0.175,-0.122
29.6,0.209,-0.157
29.65,0.227,-0.175
29.7,0.227,-0.192
29.75,0.227,-0.192
29.8,0.227,-0.175
29.85,0.209,-0.157
29.9,0.175,-0.14
29.95,0.14,-0.105
30,0.087,-0.07
30.05,0.052,-0.035
30.1,0,0
30.15,-0.035,0.017
30.2,-0.052,0.052
30.25,-0.07,0.07
30.3,-0.087,0.07
30.35,-0.07,0.07
30.4,-0.052,0.052
30.45,-0.035,0.035
30.5,0,0.017
30.55,0.035,-0.017
30.6,0.087,-0.052
30.65,0.122,-0.087
30.7,0.157,-0.122
30.75,0.192,-0.157
30.8,0.227,-0.175
30.85,0.227,-0.175
30.9,0.227,-0.192
30.95,0.227,-0.175
31,0.209,-0.157
31.05,0.175,-0.14
31.1,0.14,-0.105
31.15,0.105,-0.07
31.2,0.052,-0.035
31.25,0.017,-0.017
31.3,-0.017,0.017
31.35,-0.052,0.052
31.4,-0.07,0.07
31.45,-0.087,0.07
31.5,-0.07,0.07
31.55,-0.07,0.052
31.6,-0.035,0.035
31.65,0,0.017
31.7,0.035,-0.017
31.75,0.07,-0.052
31.8,0.122,-0.087
31.85,0.157,-0.122
31.9,0.192,-0.14
31.95,0.209,-0.175
32,0.227,-0.175
32.05,0.227,-0.192
32.1,0.227,-0.175
32.15,0.209,-0.157
32.2,0.175,-0.14
32.25,0.14,-0.122
32.3,0.105,-0.087
32.35,0.052,-0.052
32.4,0.017,-0.017
32.45,-0.017,0.017
32.5,-0.052,0.035
32.55,-0.07,0.052
32.6,-0.07,0.07
32.65,-0.07,0.07
32.7,-0.07,0.07
32.75,-0.035,0.052
32.8,-0.017,0.017
32.85,0.035,-0.017
32.9,0.07,-0.052
32.95,0.105,-0.087
33,0.157,-0.105
33.05,0.192,-0.14
33.1,0.209,-0.157
33.15,0.227,-0.175
33.2,0.227,-0.175
33.25,0.227,-0.175
33.3,0.209,-0.175
33.35,0.192,-0.14
33.4,0.157,-0.122
33.45,0.105,-0.087
33.5,0.07,-0.052
33.55,0.017,-0.017
33.6,-0.017,0.017
33.65,-0.035,0.035
33.7,-0.07,0.052
33.75,-0.07,0.07
33.8,-0.07,0.07
33.85,-0.07,0.07
33.9,-0.052,0.052
33.95,-0.017,0.017
34,0.017,0
34.05,0.07,-0.035
34.1,0.105,-0.07
34.15,0.14,-0.105
34.2,0.175,-0.14
34.25,0.209,-0.157
34.3,0.227,-0.175
34.35,0.227,-0.175
34.4,0.227,-0.175
34.45,0.209,-0.175
34.5,0.192,-0.14
34.55,0.157,-0.122
34.6,0.122,-0.087
34.65,0.07,-0.052
34.7,0.035,-0.017
34.75,0,0.017
34.8,-0.035,0.035
34.85,-0.07,0.052
34.9,-0.07,0.07
34.95,-0.07,0.07
35,-0.07,0.07
35.05,-0.052,0.052
35.1,-0.017,0.017
35.15,0.017,0
35.2,0.052,-0.035
35.25,0.105,-0.07
35.3,0.14,-0.105
35.35,0.175,-0.14
35.4,0.209,-0.157
35.45,0.227,-0.175
35.5,0.227,-0.175
35.55,0.227,-0.175
35.6,0.209,-0.175
35.65,0.192,-0.157
35.7,0.157,-0.122
35.75,0.122,-0.087
35.8,0.087,-0.052
35.85,0.035,-0.035
35.9,0,0
35.95,-0.035,0.035
36,-0.052,0.052
36.05,-0.07,0.07
36.1,-0.07,0.07
36.15,-0.07,0.07
36.2,-0.052,0.052
36.25,-0.017,0.035
36.3,0.017,0
36.35,0.052,-0.035
36.4,0.087,-0.07
36.45,0.14,-0.105
36.5,0.175,-0.122
36.55,0.192,-0.157
36.6,0.227,-0.175
36.65,0.227,-0.175
36.7,0.227,-0.175
36.75,0.209,-0.175
36.8,0.192,-0.157
36.85,0.157,-0.122
36.9,0.122,-0.105
36.95,0.087,-0.07
37,0.052,-0.035
